wallet,score
0x04be2a942c1060db1c7615670bb55950a52f8b15,1000.0
0x02e4ac7c366cf7320bc78b816b162b26d605a4bd,761.3329880468269
0x01b92f893b1c302bcf1945fd4edf10df99b4f181,630.0327803633676
0x025297ca7459dd67dbfd8443d9b5f321e89fad83,628.4193074160827
0x0520e146a8eb11276ae1b4afdb9ab02bdb27b831,628.2969088181643
0x0051e6e6cde6392c01b4cf6b97d9f5c50ec9817c,627.3635923820187
0x037e908997841df68afb48eb1c9a6e441310abf5,626.7359646210544
0x010da4bb5ed14c387bc92de075b58e2d0cee23b1,626.2715221976609
0x03b79d2f2b47661e29b11605b55e34e7ac5f011d,625.9275467426836
0x05d45037ed91c3a6ed96935ec53e993c9cffb610,625.6136436411417
0x04bdfb9f9704694ca365b8e27bbdb7e093475340,622.3780101747566
0x049675d578aff8a085ea67947751cc2df717b863,621.5377446448609
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,620.1954074353135
0x028062ffc2a94ca94e464240142c956d10fa449d,619.7081705622518
0x059ecc2543ebee56fd21209a229969286840ce3a,618.938332002745
0x04efc3225aa96a0fcb977bfbada6712f99310545,618.565326059169
0x05ed9694f8f17d71d6385b891ba4c799394d9e44,618.4121780797304
0x00e650676a38478b3eee9e3eb741a6075b2c95c1,618.2645969849184
0x01e4ac55758ba9f93d28aeb4f3922b6a7905aaed,617.5702032271946
0x0107e33b5776e3052fdd624d6246df4f1d8ecddd,617.570180950644
0x04ee01137811d587ecbef9262a8db2248666f341,617.570080143379
0x05a28038dbc46d2f7c9e819d0ef6380499bf54d5,617.4309129167463
0x024b52ddd4a3562768ecd61b1c2cdf35d0613e0a,617.2680524213845
0x03fde9f49e46f4b0518a26bfc8bd29569dbc40c2,617.0981908525384
0x055be3a0cff9bfefc49a270e6a4cf4ecf70b8779,616.8199860927891
0x05acb1438730ca2e4ae69689c82a00731752a400,615.919403421925
0x003e41b4f19f27ab2a07c19abe2d99ecb492ce62,615.2730522687747
0x030888e8fe9f0cbe3ff04c0fda1c0954c6b68822,582.3980597755066
0x05ec08e0f92b0077e64ae43785b91ac248889629,570.7691404529036
0x0305cf6d8af11679eee6aa68c528ed25f837aa4f,570.228874510431
0x021a17e276d22dbda6b262c1c67ab256b9b06857,563.2225310842679
0x00db170287aaa8a93b08cda808af76d11a5f0fff,548.0226086747747
0x01af1eb57b3489cea12ea3d8ebbae1c3eeb0658e,537.8415651586428
0x0292c117e0fc26212b22c5843b9755e7b676c6c0,529.0166220201975
0x02b537c80038f273820b51deda8d904b8f2748ef,527.1761748474203
0x03aaab0b6729ec7ff3d23d34ae2249c4f0e7c9eb,500.1720105813137
0x03a151746661bea0942281ec949de76eb6b4f6f2,482.847500955384
0x010e92ac8b581c760a4f3c877a4558e8cc278c70,467.3371947986558
0x020d56e549db2ca35fac74118b28f159500701c0,455.9415991056447
0x060557d6362d3f7e40381571fc85525c61c064c8,455.61017602449135
0x01d9816465ee701cb650edf27de69b02fa272454,453.3570342490542
0x0081b2ec2af3f22528d6581e6554aaba5141e985,451.10609407589004
0x0238d0aa37457dc99a0e9a41d109b861f0aa0b96,446.5804471258271
0x0340c0b1ef5d48083ac0afb00322b38b21f0d8db,437.81760725400267
0x0072b9af9a7dc5a42091f01d3d22bcf298d398fd,432.8566892957244
0x00b591bc2b682a0b30dd72bac9406bfa13e5d3cd,428.8527713027188
0x011e6bf0b2fccc01f137cfe776e1b1121f31fbaa,425.2031679069654
0x00d3addc7cb1637c73359d41949a1a369d7f092a,419.29123311745815
0x037bef2da33513cfb998e36894d073773d3285f8,416.8530233191186
0x017d08868e2ddbf4d2b28171457c1ce6976fe212,413.3210706983044
0x02bd653274feaa6e43618310400c5d1337758d1d,412.5306076413182
0x05a404de8ddc44db9c9d579fda11e088a66fd1d9,412.0461165081415
0x02e2e0296a3caee924b900b69f7b3ebd16729ecc,411.7882733723356
0x0607aa9076c72dab964a04dbf73ef9ba58206997,407.5398627676082
